a,e,i,aop,s,p,f,GDoP,HDoP,dV,T,Decomp
17321.436687114885,0.16418069504379507,49.28078434328581,79.24632264971324,6,7,0.6714291710812733,2.358587050545501,0.9290455161848769,0.013294961179123646,42.0,0.8454392703655054
14484.402611091742,0.020737539788249437,28.964591997322003,13.360559217837991,7,4,0.6938554113738997,3.9806902370564914,1.6774837778394187,0.009320736192501818,28.0,0.7611184785620313
18650.555226885608,0.010687980544035358,89.77364934554966,209.53079148364623,7,8,0.29337627848605663,2.110782458154871,0.9808818530698264,0.009342569028357913,56.0,1.0651752142517477
14484.402611091742,0.020737539788249437,29.037940200368254,11.167052488875143,7,4,0.8840743492269191,3.8818457936009914,1.679396931584014,0.0093111944946587,28.0,0.7543844456826092
17696.275178218726,0.09286811739412029,61.7415520611289,41.437094748085215,7,4,0.23489731322724583,3.473239855159342,1.5448229720408824,0.021516692882518933,28.0,0.7182052277540915
14484.402611091742,0.01662082543130631,28.964591997322003,10.934981037295316,6,4,0.8636218426159072,6.170511746334002,3.278572174635795,0.009865783248101499,24.0,1.0610301295699962
13159.753462702029,0.020737539788249437,30.117971250886065,13.360559217837991,7,4,0.23250545972429487,4.967244705319665,1.8547591905952157,0.008577411628232735,28.0,0.8494505238913198
14484.402611091742,0.01662082543130631,28.964591997322003,328.7855030092666,6,4,0.030512431365796122,8.937199373944344,5.48864183654652,0.008715396433417316,24.0,1.592053740424619
18650.555226885608,0.010687980544035358,89.6681239522698,132.7603549820094,7,7,0.29337627848605663,2.262661378070117,1.0333560717771275,0.009044220631413503,49.0,0.9612026166581693
25493.602324868567,0.16879309689652,59.80899980526161,292.10291607665545,8,6,0.8571543283140102,1.5732398220330945,0.7607402177910874,0.020498058290834786,48.0,0.8988008884894045
14484.402611091742,0.016878346708998418,22.137749441834995,8.553923271173872,6,8,0.9200314566218544,2.9203859750136845,1.051555005099308,0.010722845214098414,48.0,0.975830525011774
14484.402611091742,0.01662082543130631,40.30193910109713,10.104389799980567,6,9,0.8636218426159072,1.9326125760374333,0.7326631011550321,0.012807964653485158,54.0,1.0091857367407226
25519.4544327783,0.016110225367562014,74.26401206511483,85.27273328051946,10,5,0.3224329091095906,1.3715868738006534,0.7324343632422685,0.022905388781757206,50.0,0.9215348144732607
14368.728916670625,0.05637955515355224,32.08740690446396,182.75647337469036,9,4,0.7404222321135545,2.536396215047189,1.21073687460515,0.009630301714019419,36.0,0.7744030925904468
30702.908263380505,0.09023425449755779,56.78632803055774,306.97097797856213,6,5,0.810402761592899,2.6274689854847493,1.2205130941842572,0.0401567592874875,30.0,0.6832490962562892
25357.164432445345,0.016110225367562014,75.2058828712083,48.58494724184328,9,5,0.44930257292282294,1.5281501829648272,0.7863181778058543,0.023734673879924003,45.0,0.850023914752882
15059.067938723767,0.015744880733963327,40.40421259705481,87.24502149874338,10,5,0.2179689300611679,1.607577000397568,0.7801022883398271,0.012405109006989488,50.0,0.9334908790333611
21403.204288730394,0.16879309689652,59.169523438460196,292.10291607665545,8,7,0.7306475662170306,1.4683267627177363,0.6969319854476603,0.017486892056205124,56.0,1.020438643943761
17392.98437858306,0.05637955515355224,25.87380640442748,337.9538923613742,9,3,0.9658191163688427,3.6714099101805147,1.7118583555047937,0.01167753934033624,27.0,0.7283262389438502
28902.526338503587,0.08907835016697968,71.3616694250958,206.6549124760599,6,8,0.8547163026685538,1.5168481008795105,0.7785894590890902,0.055023106717883574,48.0,0.9006560520346528
18340.10718582433,0.026747905212592606,67.53659756581318,315.22561222410116,6,9,0.5346790571795887,1.7104297799186299,0.7069433852597962,0.01380978181761877,54.0,0.9981975634607969
28263.686768466207,0.08613985073856273,60.027494424719876,55.695781279420814,7,6,0.24071716733885828,1.6922896557032654,0.8463196916080497,0.03649374638843469,42.0,0.8128022465660854
20649.07909419645,0.010687980544035358,44.43008725113582,241.80877280908513,7,7,0.3193485807830933,1.7787792309355768,0.7809841289606754,0.018456347615834475,49.0,0.9247927031534537
27592.822123778453,0.01862344351417286,74.50653451257577,322.54918812239345,7,4,0.6113982208824905,3.051396051699867,1.5031299884530651,0.030332706292211853,28.0,0.6909065972198289
27045.636382183417,0.014237687715043662,66.1782946250347,148.73903783309706,8,7,0.9922159726066608,1.2468099198038134,0.6549077180765872,0.027203256354266372,56.0,1.0095387140679621
26519.06359653512,0.09023425449755779,57.514110005837786,306.97097797856213,6,6,0.1872804451281272,2.310350032500426,1.035797556055354,0.017299777811106136,36.0,0.7530275800623425
23556.358364368774,0.08740607642768097,85.38558659494379,159.22830566223394,7,8,0.5089904932121448,1.534752624260565,0.8023234934854938,0.014953149521456583,56.0,1.0299986470811793
24900.498815140934,0.044316745899668636,83.17602568367528,322.54918812239345,8,4,0.49154515001693533,2.8190240293028603,1.438374380725466,0.01911776426706456,32.0,0.7385148619143583
14484.402611091742,0.020737539788249437,36.270556176158756,46.58324120822381,7,4,0.8840743492269191,3.7654875409870536,1.8673556622037861,0.009285962714916393,28.0,0.7596872833900797
16895.486133581828,0.02913312456233845,28.964591997322003,13.117911400487893,7,4,0.6938554113738997,3.3365813947470917,1.6066776395527076,0.011007837992788368,28.0,0.7151683278313183
17398.813131264506,0.07701689857698961,42.82220863849683,289.47513845399686,5,5,0.8831242362030418,4.808246998283291,1.5980661529795026,0.013127970407618173,25.0,0.7873066155656931
13090.63312582912,0.026582393768029136,22.51347119670151,29.814629677787906,6,8,0.9278193788734402,3.7136901834365377,1.1090757616417575,0.010115411313385276,48.0,1.0187741592721202
24271.786179780083,0.02028953821135604,76.06039393762994,1.1536995858015473,7,3,0.700726036482538,4.461955427647616,1.774332969413308,0.02018511445530567,21.0,0.7278301941300112
14478.28209070503,0.01662082543130631,40.30193910109713,7.631046387656838,6,8,0.8216248246414748,2.001199511829155,0.8043584326613243,0.012665513046455398,48.0,0.919102592738104
23347.683344559442,0.010216013157793705,60.87993853861594,146.80503786126127,5,4,0.8503202778808241,8.194011057244161,2.9749230054102753,0.021528455609092823,20.0,1.1945743122100514
15090.497970763043,0.08467911640669068,32.42822023529877,128.9087690446569,9,4,0.713859465237663,2.443494687429205,1.1667170075228372,0.010961038270312013,36.0,0.7673274855527292
